log_no,url,title,published,status,error,body_hash,notes
220410435958,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220410435958&categoryNo=1123,[PRJ-08] 2000.12 ~ 2001.02 - 오데로닷컴 (Odero.com),2015. 7. 4. 23:19,full-text,,e8eb8bbd26c63764a55880003bf5e050c6f9e2c78f50f19be74b0cd180b47936,1
220410651472,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220410651472&categoryNo=1123,[PRJ-09] 2000.12 ~ 2001.02 - 어촌어항 관광정보 시스템,2015. 7. 5. 10:01,full-text,,bd9e18065dd94d239adf2606fa75d5036d98cb38a83af56eaf37ae24cf5ed4ea,1
220411332178,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220411332178&categoryNo=1123,[PRJ-10] 2001.06 ~ 2001.09 - DVD 쇼핑몰,2015. 7. 6. 1:53,full-text,,43fcaf9d46d985c23781b00cb80ba7ecb875aaf54f91de06011ce02c37d19142,1
220411344452,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220411344452&categoryNo=1123,[PRJ-11] 2001.10 ~ 2001.11 - 황제양념갈비 쇼핑몰,2015. 7. 6. 2:32,full-text,,bb3f7f3c6b94544ec9300f7d36cb83a912bde120e59bf9a4c81db6087f78e24f,1
220413495245,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220413495245&categoryNo=1123,[PRJ-12] 2002.01 ~ 2002.12 - 한국무역협회  IT Master 3기,2015. 7. 8. 0:31,full-text,,2d70cc067b86c785fd0964fce0d249f72c50c62ff2e50a181a9077d08040767b,1
220414703123,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220414703123&categoryNo=1123,[PRJ-13] 2003.01 ~ 2003.04 - eCMS 6.0 지역화,2015. 7. 9. 11:50,full-text,,5be2721eb6c3bd8e0bff17cad2134be8ac0f580e30e53bee2d4a8d68bc3186d6,1
220414796450,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220414796450&categoryNo=1123,[PRJ-14] 2003.05 ~ 2003.11 - NTV(니혼 테레비) 디지털방송,2015. 7. 9. 12:00,full-text,,ad463ef3a6c5d2f64cac8e875f5ecc291e4333ed84486c0ffc58ce236c79b888,1
220415203288,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220415203288&categoryNo=1123,[PRJ-15] 2003.12 ~ 2004.01 - 성누가병원 장표시스템,2015. 7. 9. 17:50,full-text,,194db9ff89fc03a72fb92f3527c9f5bbda9b16be0385952a9edce1ec6615d671,1
220415658542,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220415658542&categoryNo=1123,[PRJ-16] 2004.02 ~ 2004.04 - 일본외무성 여권발급시스템,2015. 7. 10. 1:30,full-text,,7b8f2ac01cd08a67839431031e9116ab2196503985839c4eaf2caf9533194d8a,1
220415685668,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220415685668&categoryNo=1123,[PRJ-17] 2004.05 ~ 2004.08 - 스루가은행 고객관리시스템,2015. 7. 10. 2:43,full-text,,e5351f1476331266fecb22d7cc666e4a38c5b8dd60788528ed5390003f1a541f,1
